timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1766834315646,18,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-33,,false,,2579,1187,1,1,null,0,1,0
1766834315647,4,1-卖家登录,401,,50并发-确认收货+评价流程 1-33,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,4,0,0
1766834315651,3,2-卖家发货,401,,50并发-确认收货+评价流程 1-33,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/33/ship,3,0,0
1766834315654,5,3-买家登录,401,,50并发-确认收货+评价流程 1-33,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,5,0,0
1766834315659,3,4-买家确认收货,401,,50并发-确认收货+评价流程 1-33,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/33/receive,3,0,0
1766834315662,3,5-买家评价,401,,50并发-确认收货+评价流程 1-33,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,3,0,0
1766834315749,16,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-34,,false,,2579,1187,1,1,null,0,3,1
1766834315749,6,1-卖家登录,401,,50并发-确认收货+评价流程 1-34,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834315755,3,2-卖家发货,401,,50并发-确认收货+评价流程 1-34,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/34/ship,3,0,0
1766834315759,3,3-买家登录,401,,50并发-确认收货+评价流程 1-34,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,3,0,0
1766834315763,2,4-买家确认收货,401,,50并发-确认收货+评价流程 1-34,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/34/receive,2,0,0
1766834315765,2,5-买家评价,401,,50并发-确认收货+评价流程 1-34,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834315847,18,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-35,,false,,2579,1187,1,1,null,0,3,0
1766834315848,5,1-卖家登录,401,,50并发-确认收货+评价流程 1-35,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,5,0,0
1766834315853,4,2-卖家发货,401,,50并发-确认收货+评价流程 1-35,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/35/ship,4,0,0
1766834315858,4,3-买家登录,401,,50并发-确认收货+评价流程 1-35,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,4,0,0
1766834315862,3,4-买家确认收货,401,,50并发-确认收货+评价流程 1-35,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/35/receive,3,0,0
1766834315865,2,5-买家评价,401,,50并发-确认收货+评价流程 1-35,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834315946,16,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-36,,false,,2579,1187,1,1,null,0,4,1
1766834315947,7,1-卖家登录,401,,50并发-确认收货+评价流程 1-36,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,7,0,1
1766834315955,1,2-卖家发货,401,,50并发-确认收货+评价流程 1-36,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/36/ship,1,0,0
1766834315957,4,3-买家登录,401,,50并发-确认收货+评价流程 1-36,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,4,0,0
1766834315961,2,4-买家确认收货,401,,50并发-确认收货+评价流程 1-36,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/36/receive,2,0,0
1766834315963,2,5-买家评价,401,,50并发-确认收货+评价流程 1-36,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834316046,15,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-37,,false,,2579,1187,1,1,null,0,4,1
1766834316046,5,1-卖家登录,401,,50并发-确认收货+评价流程 1-37,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,5,0,1
1766834316052,2,2-卖家发货,401,,50并发-确认收货+评价流程 1-37,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/37/ship,2,0,0
1766834316055,4,3-买家登录,401,,50并发-确认收货+评价流程 1-37,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,4,0,0
1766834316059,2,4-买家确认收货,401,,50并发-确认收货+评价流程 1-37,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/37/receive,2,0,0
1766834316062,2,5-买家评价,401,,50并发-确认收货+评价流程 1-37,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834316147,17,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-38,,false,,2579,1187,1,1,null,0,3,1
1766834316147,5,1-卖家登录,401,,50并发-确认收货+评价流程 1-38,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,5,0,1
1766834316152,2,2-卖家发货,401,,50并发-确认收货+评价流程 1-38,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/38/ship,2,0,0
1766834316155,6,3-买家登录,401,,50并发-确认收货+评价流程 1-38,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,6,0,0
1766834316161,2,4-买家确认收货,401,,50并发-确认收货+评价流程 1-38,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/38/receive,2,0,0
1766834316164,2,5-买家评价,401,,50并发-确认收货+评价流程 1-38,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834316260,67,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-39,,false,,2579,1187,1,1,null,0,4,2
1766834316260,45,1-卖家登录,401,,50并发-确认收货+评价流程 1-39,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,45,0,2
1766834316305,11,2-卖家发货,401,,50并发-确认收货+评价流程 1-39,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/39/ship,11,0,0
1766834316317,5,3-买家登录,401,,50并发-确认收货+评价流程 1-39,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,5,0,0
1766834316323,3,4-买家确认收货,401,,50并发-确认收货+评价流程 1-39,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/39/receive,3,0,0
1766834316327,3,5-买家评价,401,,50并发-确认收货+评价流程 1-39,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,3,0,0
1766834316346,15,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-40,,false,,2579,1187,1,1,null,0,5,0
1766834316347,4,1-卖家登录,401,,50并发-确认收货+评价流程 1-40,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,4,0,0
1766834316352,3,2-卖家发货,401,,50并发-确认收货+评价流程 1-40,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/40/ship,3,0,0
1766834316356,4,3-买家登录,401,,50并发-确认收货+评价流程 1-40,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,4,0,0
1766834316360,2,4-买家确认收货,401,,50并发-确认收货+评价流程 1-40,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/40/receive,2,0,0
1766834316363,2,5-买家评价,401,,50并发-确认收货+评价流程 1-40,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,2,0,0
1766834316449,15,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-41,,false,,2579,1187,1,1,null,0,4,0
